Rank,Country,2019_Rank,2019_Score,2019_country_code,2019_income_group,2019_total_gdp_million,2020_Rank,2020_Score,2020_country_code,2020_income_group,2020_total_gdp_million,2021_Rank,2021_Score,2021_country_code,2021_income_group,2021_total_gdp_million,2022_Rank,2022_Score,2022_country_code,2022_income_group,2022_total_gdp_million,2023_Rank,2023_Score,2023_country_code,2023_income_group,2023_total_gdp_million,2024_Rank,2024_Score,2019_porcentaje
10,Bahrain,167.0,38.69,BHR,Ingreso Alto,40446.8085106383,169.0,39.87,BHR,Ingreso Alto,35837.6329787234,168.0,38.9,BHR,Ingreso Alto,40840.2127659574,167.0,30.97,BHR,Ingreso Alto,46680.3989361702,171.0,30.59,BHR,Ingreso Alto,46079.8670212766,173.0,23.21,0.28
11,Bangladesh,150.0,49.26,BGD,Países De Ingreso Mediano Bajo,351231.654603692,151.0,50.63,BGD,Países De Ingreso Mediano Bajo,373979.442362193,152.0,50.29,BGD,Países De Ingreso Mediano Bajo,416271.647911014,162.0,36.63,BGD,Países De Ingreso Mediano Bajo,460131.688909301,163.0,35.31,BGD,Países De Ingreso Mediano Bajo,437415.331040994,165.0,27.64,2.46
12,Belarus,153.0,48.34,BLR,Ingreso Mediano Alto,64410.1228473508,153.0,50.25,BLR,Ingreso Mediano Alto,61371.7553262351,158.0,49.18,BLR,Ingreso Mediano Alto,69673.74713187,153.0,39.62,BLR,Ingreso Mediano Alto,73775.179924603,157.0,37.17,BLR,Ingreso Mediano Alto,71857.38274560659,167.0,26.8,0.45
13,Belgium,9.0,87.93,BEL,Ingreso Alto,536726.344405489,12.0,87.43,BEL,Ingreso Alto,529694.473501791,11.0,88.31,BEL,Ingreso Alto,598494.036474409,23.0,78.86,BEL,Ingreso Alto,593438.820508173,31.0,76.47,BEL,Ingreso Alto,644782.756682756,16.0,81.49,3.76
14,Belize,53.0,72.5,BLZ,Ingreso Mediano Alto,2388.3,53.0,72.5,BLZ,Ingreso Mediano Alto,2042.85,53.0,72.39,BLZ,Ingreso Mediano Alto,2420.55,47.0,70.67,BLZ,Ingreso Mediano Alto,2846.7,51.0,70.49,BLZ,Ingreso Mediano Alto,3066.85,54.0,66.85,0.02
15,Benin,96.0,68.26,BEN,Países De Ingreso Mediano Bajo,14391.686309033,113.0,64.89,BEN,Países De Ingreso Mediano Bajo,15651.5452088783,114.0,61.82,BEN,Países De Ingreso Mediano Bajo,17690.0835199323,121.0,48.39,BEN,Países De Ingreso Mediano Bajo,17401.746309265498,112.0,52.44,BEN,Países De Ingreso Mediano Bajo,19676.0490757011,89.0,56.73,0.1
16,Bhutan,80.0,70.19,BTN,Países De Ingreso Mediano Bajo,2735.68357028851,67.0,71.1,BTN,Países De Ingreso Mediano Bajo,2457.6043341591503,65.0,71.14,BTN,Países De Ingreso Mediano Bajo,2768.80295960794,33.0,76.46,BTN,Países De Ingreso Mediano Bajo,2898.22774313545,90.0,59.25,BTN,Países De Ingreso Mediano Bajo,0.0,147.0,37.29,0.02
17,Bolivia,113.0,64.62,,,,114.0,64.63,,,,110.0,64.53,,,,126.0,47.58,,,,117.0,51.09,,,,124.0,48.88,
18,Bosnia and Herzegovina,63.0,70.98,,,,58.0,71.49,,,,58.0,71.66,,,,67.0,65.64,,,,64.0,65.43,,,,81.0,58.85,
19,Botswana,44.0,74.91,BWA,Ingreso Mediano Alto,16725.9081485481,39.0,76.44,BWA,Ingreso Mediano Alto,14960.2911059316,38.0,76.75,BWA,Ingreso Mediano Alto,18750.9466001423,95.0,58.49,BWA,Ingreso Mediano Alto,20321.958850036302,65.0,64.61,BWA,Ingreso Mediano Alto,19396.0844980084,79.0,59.78,0.12
20,Brazil,105.0,67.21,BRA,Ingreso Mediano Alto,1873288.20518645,107.0,65.95,BRA,Ingreso Mediano Alto,1476107.23119411,111.0,63.75,BRA,Ingreso Mediano Alto,1670647.39903467,110.0,55.36,BRA,Ingreso Mediano Alto,1951923.94208332,92.0,58.67,BRA,Ingreso Mediano Alto,2173665.65593727,82.0,58.59,13.12
21,Brunei,152.0,48.52,,,,152.0,50.35,,,,154.0,50.09,,,,144.0,42.53,,,,142.0,44.2,,,,117.0,50.09,
22,Bulgaria,111.0,64.89,BGR,Ingreso Alto,68631.72628927941,111.0,64.94,BGR,Ingreso Alto,70716.82123459669,112.0,62.71,BGR,Ingreso Alto,84417.9512608091,91.0,59.12,BGR,Ingreso Alto,90642.8518358996,71.0,62.98,BGR,Ingreso Alto,102407.653020606,59.0,65.32,0.48
23,Burkina Faso,36.0,75.47,BFA,Países De Ingreso Bajo,16032.8135033707,38.0,76.53,BFA,Países De Ingreso Bajo,17725.010532526798,37.0,76.83,BFA,Países De Ingreso Bajo,19697.5162843787,41.0,73.12,BFA,Países De Ingreso Bajo,18820.2186905948,58.0,67.64,BFA,Países De Ingreso Bajo,20324.6178445265,86.0,58.24,0.11
24,Burundi,159.0,47.11,BDI,Países De Ingreso Bajo,2576.5188798235304,160.0,44.67,BDI,Países De Ingreso Bajo,2649.68026144299,147.0,52.43,BDI,Países De Ingreso Bajo,2775.79869746022,107.0,55.74,BDI,Países De Ingreso Bajo,3338.72282765691,114.0,52.14,BDI,Países De Ingreso Bajo,2642.16166885211,108.0,51.78,0.02
25,Cambodia,143.0,54.1,KHM,Países De Ingreso Mediano Bajo,36685.3564077206,144.0,54.54,KHM,Países De Ingreso Mediano Bajo,34818.0739014851,144.0,53.16,KHM,Países De Ingreso Mediano Bajo,36790.1636874421,142.0,43.48,KHM,Países De Ingreso Mediano Bajo,39994.5329596074,147.0,42.02,KHM,Países De Ingreso Mediano Bajo,42335.6468957984,151.0,34.28,0.26
26,Cameroon,131.0,56.68,CMR,Países De Ingreso Mediano Bajo,39667.7575276578,134.0,56.72,CMR,Países De Ingreso Mediano Bajo,40773.2411770505,135.0,56.22,CMR,Países De Ingreso Mediano Bajo,45011.9373468384,118.0,49.1,CMR,Países De Ingreso Mediano Bajo,44347.2060725513,138.0,45.58,CMR,Países De Ingreso Mediano Bajo,49279.410982826,130.0,44.95,0.28
27,Canada,18.0,84.31,CAN,Ingreso Alto,1743725.18367252,16.0,84.71,CAN,Ingreso Alto,1655684.73000019,13.0,84.75,CAN,Ingreso Alto,2007472.1814641496,19.0,81.74,CAN,Ingreso Alto,2161483.36942201,15.0,83.53,CAN,Ingreso Alto,2142470.9144013603,14.0,81.7,12.21
28,Cape Verde,25.0,80.19,,,,25.0,79.85,,,,27.0,79.91,,,,36.0,75.37,,,,33.0,75.72,,,,41.0,72.77,
29,Central African Republic,145.0,52.73,CAF,Países De Ingreso Bajo,2221.30135143918,132.0,57.13,CAF,Países De Ingreso Bajo,2326.7209003804696,126.0,58.08,CAF,Países De Ingreso Bajo,2516.49841246384,101.0,56.96,CAF,Países De Ingreso Bajo,2382.61861501694,98.0,57.56,CAF,Países De Ingreso Bajo,2555.49208524831,76.0,60.12,0.02
30,Chad,122.0,63.29,TCD,Países De Ingreso Bajo,11314.9510917283,123.0,60.3,TCD,Países De Ingreso Bajo,10715.3960423343,123.0,59.8,TCD,Países De Ingreso Bajo,11779.9813328631,104.0,56.18,TCD,Países De Ingreso Bajo,12396.8075884082,109.0,53.73,TCD,Países De Ingreso Bajo,13149.3253623347,96.0,54.81,0.08
31,Chile,46.0,74.35,CHL,Ingreso Alto,278285.058719466,51.0,72.69,CHL,Ingreso Alto,254042.159309311,54.0,72.11,CHL,Ingreso Alto,315515.014838539,82.0,60.61,CHL,Ingreso Alto,302116.53940903005,83.0,60.09,CHL,Ingreso Alto,335533.331669219,52.0,67.32,1.95
32,China,177.0,21.08,CHN,Ingreso Mediano Alto,14279968.5062717,177.0,21.52,CHN,Ingreso Mediano Alto,14687744.162801,177.0,21.28,CHN,Ingreso Mediano Alto,17820459.5088522,175.0,25.17,CHN,Ingreso Mediano Alto,17881782.6837073,179.0,22.97,CHN,Ingreso Mediano Alto,17794783.039552,172.0,23.36,100.0
33,Colombia,129.0,57.18,COL,Ingreso Mediano Alto,323031.70119284,130.0,57.34,COL,Ingreso Mediano Alto,270348.342541465,134.0,56.26,COL,Ingreso Mediano Alto,318524.633225395,145.0,42.43,COL,Ingreso Mediano Alto,345329.875078512,139.0,45.23,COL,Ingreso Mediano Alto,363493.841244303,119.0,49.63,2.26
34,Comoros,56.0,72.09,COM,Países De Ingreso Mediano Bajo,1195.0195319011,75.0,70.23,COM,Países De Ingreso Mediano Bajo,1225.03919661091,84.0,69.35,COM,Países De Ingreso Mediano Bajo,1296.08947991978,83.0,60.16,COM,Países De Ingreso Mediano Bajo,1242.51940777603,75.0,62.25,COM,Países De Ingreso Mediano Bajo,1352.38097124055,71.0,61.47,0.01
35,Congo,117.0,63.96,COG,Países De Ingreso Mediano Bajo,13976.6377799763,118.0,63.44,COG,Países De Ingreso Mediano Bajo,11468.6874640046,118.0,61.17,COG,Países De Ingreso Mediano Bajo,14825.690210915702,93.0,58.64,COG,Países De Ingreso Mediano Bajo,15817.0301546941,81.0,60.42,COG,Países De Ingreso Mediano Bajo,15321.0558225167,69.0,62.57,0.1
36,Costa Rica,10.0,87.76,CRI,Ingreso Mediano Alto,64417.6705213545,7.0,89.47,CRI,Ingreso Mediano Alto,62395.6107600492,5.0,91.24,CRI,Ingreso Mediano Alto,64960.7257341965,8.0,85.92,CRI,Ingreso Mediano Alto,69243.6260285936,23.0,80.2,CRI,Ingreso Mediano Alto,86497.94143901739,26.0,76.13,0.45
37,Croatia,64.0,70.97,HRV,Ingreso Alto,61467.58219368241,59.0,71.49,HRV,Ingreso Alto,57963.37088507981,56.0,72.05,HRV,Ingreso Alto,69006.8022986956,48.0,70.42,HRV,Ingreso Alto,71198.6351019514,42.0,71.95,HRV,Ingreso Alto,84393.7955024421,48.0,68.79,0.43
38,Cuba,169.0,36.19,CUB,Ingreso Mediano Alto,103427.6,171.0,36.19,CUB,Ingreso Mediano Alto,107351.8,171.0,36.06,CUB,Ingreso Mediano Alto,0.0,173.0,27.32,CUB,Ingreso Mediano Alto,0.0,172.0,29.0,CUB,Ingreso Mediano Alto,0.0,168.0,25.63,0.72
39,Cyprus,28.0,78.26,CYP,Ingreso Alto,26196.6670995303,27.0,79.55,CYP,Ingreso Alto,25555.0938542968,26.0,80.15,CYP,Ingreso Alto,30372.874319628503,65.0,65.97,CYP,Ingreso Alto,30976.1768868521,55.0,68.62,CYP,Ingreso Alto,33886.9307123394,65.0,63.14,0.18
40,Czech Republic,40.0,75.11,,,,40.0,76.43,,,,40.0,76.62,,,,20.0,80.54,,,,14.0,83.58,,,,17.0,80.14,
41,DR Congo,154.0,48.29,,,,150.0,50.91,,,,149.0,51.41,,,,125.0,47.66,,,,124.0,48.55,,,,123.0,48.91,
42,Denmark,5.0,90.13,DNK,Ingreso Alto,345401.473012615,3.0,91.87,DNK,Ingreso Alto,355631.02193162096,4.0,91.43,DNK,Ingreso Alto,408378.204639999,2.0,90.27,DNK,Ingreso Alto,401945.576107963,3.0,89.48,DNK,Ingreso Alto,407091.920305404,2.0,89.6,2.42
43,Djibouti,173.0,28.64,DJI,Países De Ingreso Mediano Bajo,3088.85363856832,176.0,23.27,DJI,Países De Ingreso Mediano Bajo,3185.1509810320704,176.0,21.38,DJI,Países De Ingreso Mediano Bajo,3385.82522886997,164.0,35.75,DJI,Países De Ingreso Mediano Bajo,3674.29847907676,162.0,35.87,DJI,Países De Ingreso Mediano Bajo,4098.53051355777,161.0,30.14,0.02
44,Dominican Republic,55.0,72.1,DOM,Ingreso Mediano Alto,88941.3725582397,55.0,72.1,DOM,Ingreso Mediano Alto,78844.6562981776,50.0,74.4,DOM,Ingreso Mediano Alto,94243.4259383647,30.0,76.9,DOM,Ingreso Mediano Alto,113537.36817613,43.0,71.88,DOM,Ingreso Mediano Alto,121444.279313931,35.0,73.89,0.62
45,Ecuador,97.0,68.12,ECU,Ingreso Mediano Alto,107595.829,98.0,67.38,ECU,Ingreso Mediano Alto,95865.472,96.0,67.17,ECU,Ingreso Mediano Alto,107435.101,68.0,64.61,ECU,Ingreso Mediano Alto,116586.079,80.0,60.51,ECU,Ingreso Mediano Alto,118844.826,110.0,51.3,0.75
46,Egypt,163.0,43.53,EGY,Países De Ingreso Mediano Bajo,318678.815489749,166.0,43.18,EGY,Países De Ingreso Mediano Bajo,383817.841547099,166.0,43.83,EGY,Países De Ingreso Mediano Bajo,424671.765455704,168.0,30.23,EGY,Países De Ingreso Mediano Bajo,476747.720364742,166.0,33.37,EGY,Países De Ingreso Mediano Bajo,396002.49699696,170.0,25.1,2.23
47,El Salvador,81.0,70.19,SLV,Ingreso Mediano Alto,26881.14,74.0,70.3,SLV,Ingreso Mediano Alto,24921.19,82.0,69.51,SLV,Ingreso Mediano Alto,29043.14,112.0,54.09,SLV,Ingreso Mediano Alto,31988.92,115.0,51.36,SLV,Ingreso Mediano Alto,34015.62,133.0,44.01,0.19
48,Equatorial Guinea,165.0,41.65,GNQ,Ingreso Mediano Alto,11364.1335497478,165.0,43.62,GNQ,Ingreso Mediano Alto,9893.8160077398,164.0,44.33,GNQ,Ingreso Mediano Alto,12215.8780327166,141.0,43.96,GNQ,Ingreso Mediano Alto,13687.6434356249,120.0,50.35,GNQ,Ingreso Mediano Alto,12337.550583754,127.0,46.49,0.08
49,Eritrea,178.0,19.74,ERI,Países De Ingreso Bajo,0.0,178.0,16.5,ERI,Países De Ingreso Bajo,0.0,180.0,18.55,ERI,Países De Ingreso Bajo,0.0,179.0,19.62,ERI,Países De Ingreso Bajo,0.0,174.0,27.86,ERI,Países De Ingreso Bajo,0.0,180.0,16.64,0.0
50,Estonia,11.0,87.73,EST,Ingreso Alto,31873.7487700313,14.0,87.39,EST,Ingreso Alto,31820.7714938974,15.0,84.75,EST,Ingreso Alto,37204.56305147229,4.0,88.83,EST,Ingreso Alto,38376.046174971,8.0,85.31,EST,Ingreso Alto,41291.2452221948,6.0,86.44,0.22
51,Eswatini,147.0,50.91,SWZ,Países De Ingreso Mediano Bajo,4594.81814327624,141.0,54.85,SWZ,Países De Ingreso Mediano Bajo,4105.75686255271,141.0,53.66,SWZ,Países De Ingreso Mediano Bajo,4737.67157632851,131.0,46.42,SWZ,Países De Ingreso Mediano Bajo,4695.3727850814,111.0,52.66,SWZ,Países De Ingreso Mediano Bajo,4442.87578808505,85.0,58.31,0.03
52,Ethiopia,110.0,64.89,ETH,Países De Ingreso Bajo,95912.6077223032,99.0,67.18,ETH,Países De Ingreso Bajo,107657.734392446,101.0,66.37,ETH,Países De Ingreso Bajo,111261.882958426,114.0,50.53,ETH,Países De Ingreso Bajo,126772.703047701,130.0,47.7,ETH,Países De Ingreso Bajo,163697.927593982,141.0,41.37,0.67
53,Fiji,52.0,72.82,FJI,Ingreso Mediano Alto,5444.40721431758,52.0,72.59,FJI,Ingreso Mediano Alto,4432.46623709588,55.0,72.08,FJI,Ingreso Mediano Alto,4305.03163081808,102.0,56.91,FJI,Ingreso Mediano Alto,4969.503560773501,89.0,59.27,FJI,Ingreso Mediano Alto,5442.04656504719,44.0,71.23,0.04
54,Finland,2.0,92.1,FIN,Ingreso Alto,267014.821129411,2.0,92.07,FIN,Ingreso Alto,270000.311606226,2.0,93.01,FIN,Ingreso Alto,294223.210496119,5.0,88.42,FIN,Ingreso Alto,280241.51577432,5.0,87.94,FIN,Ingreso Alto,295532.34125490696,5.0,86.55,1.87
55,France,32.0,77.79,FRA,Ingreso Alto,2722793.51517176,34.0,77.08,FRA,Ingreso Alto,2647926.05511005,34.0,77.4,FRA,Ingreso Alto,2966433.6920080897,26.0,78.53,FRA,Ingreso Alto,2796302.21039884,24.0,78.72,FRA,Ingreso Alto,3051831.61138476,21.0,78.65,19.07
56,Gabon,115.0,64.4,GAB,Ingreso Mediano Alto,16874.405465391003,121.0,62.8,GAB,Ingreso Mediano Alto,15342.2361639864,117.0,61.4,GAB,Ingreso Mediano Alto,19444.935097239497,105.0,56.0,GAB,Ingreso Mediano Alto,20440.6556951804,94.0,58.12,GAB,Ingreso Mediano Alto,19388.4025416698,56.0,65.83,0.12
57,Gambia,92.0,68.65,GMB,Países De Ingreso Bajo,1813.60969249994,87.0,69.38,GMB,Países De Ingreso Bajo,1812.17089119069,85.0,69.24,GMB,Países De Ingreso Bajo,2014.15884214596,50.0,69.25,GMB,Países De Ingreso Bajo,2204.73452788096,46.0,71.06,GMB,Países De Ingreso Bajo,2396.11102164149,58.0,65.53,0.01
58,Georgia,60.0,71.02,GEO,Ingreso Mediano Alto,17638.3371169126,60.0,71.41,GEO,Ingreso Mediano Alto,16010.86921568,60.0,71.36,GEO,Ingreso Mediano Alto,18853.1155888106,89.0,59.3,GEO,Ingreso Mediano Alto,24984.568959605,77.0,61.69,GEO,Ingreso Mediano Alto,30777.8335854441,103.0,53.05,0.12
59,Germany,13.0,85.4,DEU,Ingreso Alto,3957208.05521568,11.0,87.84,DEU,Ingreso Alto,3940142.5413541,13.0,84.76,DEU,Ingreso Alto,4348297.440387529,16.0,82.04,DEU,Ingreso Alto,4163596.35787939,21.0,81.91,DEU,Ingreso Alto,4525703.903627531,10.0,83.84,27.71
60,Ghana,27.0,79.19,GHA,Países De Ingreso Mediano Bajo,68337.9692477067,30.0,77.74,GHA,Países De Ingreso Mediano Bajo,70043.09967567999,30.0,78.67,GHA,Países De Ingreso Mediano Bajo,79524.42186127431,60.0,67.43,GHA,Países De Ingreso Mediano Bajo,74263.3640418742,62.0,65.93,GHA,Países De Ingreso Mediano Bajo,76370.39672215401,50.0,67.71,0.48
61,Greece,65.0,70.92,GRC,Ingreso Alto,207305.649887019,65.0,71.2,GRC,Ingreso Alto,191362.985554861,70.0,70.99,GRC,Ingreso Alto,218303.801895326,108.0,55.52,GRC,Ingreso Alto,218880.566444349,107.0,55.2,GRC,Ingreso Alto,243498.333237802,88.0,57.15,1.45
62,Guatemala,116.0,64.06,GTM,Ingreso Mediano Alto,77172.3172586478,116.0,64.26,GTM,Ingreso Mediano Alto,77719.46422072999,116.0,61.55,GTM,Ingreso Mediano Alto,86478.8356363813,124.0,47.94,GTM,Ingreso Mediano Alto,95630.524813106,127.0,48.12,GTM,Ingreso Mediano Alto,104450.210572012,138.0,42.28,0.54
63,Guinea,107.0,66.51,GIN,Países De Ingreso Mediano Bajo,13442.8614964454,110.0,65.66,GIN,Países De Ingreso Mediano Bajo,14088.6937429464,109.0,64.58,GIN,Países De Ingreso Mediano Bajo,17069.115737825898,84.0,59.82,GIN,Países De Ingreso Mediano Bajo,19910.452541921903,85.0,59.51,GIN,Países De Ingreso Mediano Bajo,22199.4097412578,78.0,59.97,0.09
64,Guinea-Bissau,89.0,69.05,GNB,Países De Ingreso Bajo,1588.63885359328,94.0,67.94,GNB,Países De Ingreso Bajo,1646.40034984867,95.0,67.32,GNB,Países De Ingreso Bajo,1853.79645589489,92.0,58.79,GNB,Países De Ingreso Bajo,1796.60853082267,78.0,61.57,GNB,Países De Ingreso Bajo,2048.34810835852,92.0,55.95,0.01
65,Guyana,51.0,73.37,GUY,Ingreso Alto,5173.760191846521,49.0,73.37,GUY,Ingreso Alto,5471.25659472422,51.0,74.39,GUY,Ingreso Alto,8041.36389304556,34.0,76.41,GUY,Ingreso Alto,14718.3870167866,60.0,67.5,GUY,Ingreso Alto,17159.5095654676,77.0,60.1,0.04
66,Haiti,62.0,71.0,HTI,Países De Ingreso Mediano Bajo,15016.0909295125,83.0,69.8,HTI,Países De Ingreso Mediano Bajo,14508.2225183018,87.0,68.88,HTI,Países De Ingreso Mediano Bajo,20877.4149526375,70.0,64.55,HTI,Países De Ingreso Mediano Bajo,20253.551920551603,99.0,57.38,HTI,Países De Ingreso Mediano Bajo,19850.8297575418,93.0,55.92,0.11
67,Honduras,146.0,51.47,HND,Países De Ingreso Mediano Bajo,24882.2257418119,148.0,51.8,HND,Países De Ingreso Mediano Bajo,23352.232483755,151.0,50.65,HND,Países De Ingreso Mediano Bajo,28144.331506614897,165.0,34.61,HND,Países De Ingreso Mediano Bajo,31426.0418067985,169.0,32.65,HND,Países De Ingreso Mediano Bajo,34400.5098520436,146.0,38.18,0.17
68,Hong Kong,73.0,70.35,HKG,Ingreso Alto,363074.54507238895,80.0,69.99,HKG,Ingreso Alto,344943.149590058,80.0,69.56,HKG,Ingreso Alto,368954.169748818,148.0,41.64,HKG,Ingreso Alto,358681.066274469,140.0,44.86,HKG,Ingreso Alto,380812.234827832,135.0,43.06,2.54
69,Hungary,87.0,69.56,HUN,Ingreso Alto,164020.460331659,89.0,69.16,HUN,Ingreso Alto,157288.955508176,92.0,68.24,HUN,Ingreso Alto,182109.99947769105,85.0,59.8,HUN,Ingreso Alto,177006.12862462702,72.0,62.96,HUN,Ingreso Alto,212388.906458724,67.0,62.98,1.15
70,Iceland,14.0,85.29,ISL,Ingreso Alto,24681.3436492952,15.0,84.88,ISL,Ingreso Alto,21629.9531940659,16.0,84.63,ISL,Ingreso Alto,25825.287184381803,15.0,82.69,ISL,Ingreso Alto,28770.2066265564,18.0,83.19,ISL,Ingreso Alto,31325.1165563807,18.0,80.13,0.17
71,India,140.0,54.33,IND,Países De Ingreso Mediano Bajo,2835606.25655819,142.0,54.67,IND,Países De Ingreso Mediano Bajo,2674851.57858727,142.0,53.44,IND,Países De Ingreso Mediano Bajo,3167270.62326047,150.0,41.0,IND,Países De Ingreso Mediano Bajo,3353470.49688633,161.0,36.62,IND,Países De Ingreso Mediano Bajo,3567551.6746230097,159.0,31.28,19.86
72,Indonesia,124.0,63.23,IDN,Ingreso Mediano Alto,1119099.87138579,119.0,63.18,IDN,Ingreso Mediano Alto,1059054.84271155,113.0,62.6,IDN,Ingreso Mediano Alto,1186509.69107097,117.0,49.27,IDN,Ingreso Mediano Alto,1319076.26729151,108.0,54.83,IDN,Ingreso Mediano Alto,1371171.15233116,111.0,51.15,7.84
73,Iran,170.0,35.59,,,,173.0,35.19,,,,174.0,27.3,,,,178.0,23.22,,,,177.0,24.81,,,,176.0,21.3,
74,Iraq,156.0,47.4,IRQ,Ingreso Mediano Alto,233636.097800338,162.0,44.63,IRQ,Ingreso Mediano Alto,180898.797516874,163.0,44.43,IRQ,Ingreso Mediano Alto,209691.945713103,172.0,28.59,IRQ,Ingreso Mediano Alto,286640.34096551704,167.0,32.94,IRQ,Ingreso Mediano Alto,250842.782139464,169.0,25.48,1.64
75,Ireland,15.0,85.0,IRL,Ingreso Alto,407124.824064995,13.0,87.4,IRL,Ingreso Alto,436555.518400451,12.0,88.09,IRL,Ingreso Alto,531306.516907984,6.0,88.3,IRL,Ingreso Alto,548570.250341987,2.0,89.91,IRL,Ingreso Alto,551394.889339778,8.0,85.59,2.85
76,Israel,88.0,69.2,ISR,Ingreso Alto,399651.06519787095,88.0,69.16,ISR,Ingreso Alto,411728.563086632,86.0,69.1,ISR,Ingreso Alto,489708.27889305295,86.0,59.62,ISR,Ingreso Alto,525000.4152766779,97.0,57.57,ISR,Ingreso Alto,513611.100815691,101.0,53.23,2.8
77,Italy,43.0,75.02,ITA,Ingreso Alto,2019606.79658353,41.0,76.31,ITA,Ingreso Alto,1907481.09407923,41.0,76.61,ITA,Ingreso Alto,2179207.7735960903,58.0,68.16,ITA,Ingreso Alto,2102995.94272044,41.0,72.05,ITA,Ingreso Alto,2300941.15299181,46.0,69.8,14.14
78,Ivory Coast,71.0,70.48,,,,68.0,71.06,,,,66.0,71.13,,,,37.0,74.46,,,,54.0,68.83,,,,53.0,66.89,
79,Jamaica,8.0,88.87,JAM,Ingreso Mediano Alto,15830.7665707266,6.0,89.49,JAM,Ingreso Mediano Alto,13812.4218034084,7.0,90.04,JAM,Ingreso Mediano Alto,14657.5861270331,12.0,83.35,JAM,Ingreso Mediano Alto,17097.7607239201,32.0,75.89,JAM,Ingreso Mediano Alto,19423.3554092316,24.0,77.3,0.11
